transport,country,count
CAR,RO,2483
MOTORBIKE,GE,1801
MOTORBIKE,ES,1772
BICYCLE,ES,134
BICYCLE,UA,1301
MOTORBIKE,ES,1253
MOTORBIKE,MA,987
CAR,GE,893
CAR,RS,858
BICYCLE,RO,788
BICYCLE,KZ,785
CAR,ES,724
BICYCLE,IT,716
CAR,PL,697
CAR,BG,676
CAR,UA,662
MOTORBIKE,GH,638
BICYCLE,UA,632
MOTORBIKE,PT,623
MOTORBIKE,IT,606
MOTORBIKE,KZ,585
WALKER,KZ,563
CAR,HR,560
BICYCLE,ES,558
MOTORBIKE,KE,521
BICYCLE,IT,514
MOTORBIKE,CI,502
MOTORBIKE,UA,487
BICYCLE,UA,471
MOTORBIKE,RO,432
MOTORBIKE,IT,420
MOTORBIKE,ES,420
MOTORBIKE,MA,403
BICYCLE,UA,398
CAR,IT,390
BICYCLE,IT,384
CAR,PL,383
CAR,UA,371
WALKER,KZ,341
CAR,PL,329
BICYCLE,UA,329
BICYCLE,PL,321
CAR,RO,321
MOTORBIKE,UA,310
CAR,UA,299
BICYCLE,HR,296
BICYCLE(e),ES,291
BICYCLE,PT,277
CAR,PL,274
BICYCLE,ES,271
BICYCLE(e),IT,261
CAR,KZ,252
BICYCLE,UA,248
CAR,RO,248
CAR,MD,243
BICYCLE(e),ES,240
MOTORBIKE,IT,239
CAR,RO,233
MOTORBIKE,PT,231
MOTORBIKE,ES,225
CAR,PL,220
CAR,RO,217
WALKER,UA,209
BICYCLE,ES,203
CAR,UA,196
MOTORBIKE,RS,195
MOTORBIKE,CI,195
CAR,RO,194
BICYCLE,PL,193
CAR,RO,193
MOTORBIKE(e),IT,192
BICYCLE,KG,189
BICYCLE,RS,187
MOTORBIKE,UG,186
CAR,KZ,186
MOTORBIKE,ES,173
CAR,PL,170
WALKER,UA,168
MOTORBIKE,ES,167
MOTORBIKE,MA,166
MOTORBIKE,ES,165
BICYCLE,KZ,163
CAR,SI,161
MOTORBIKE,IT,157
CAR,BG,152
CAR,ME,151
MOTORBIKE,ES,151
MOTORBIKE,ES,149
CAR,ES,148
CAR,IT,145
MOTORBIKE,PL,144
BICYCLE,GH,142
BICYCLE,PL,139
BICYCLE,PL,138
BICYCLE,SI,133
CAR,IT,133
MOTORBIKE,ES,132
MOTORBIKE,MA,131
CAR,ES,129
BICYCLE,RO,127
WALKER,UA,127
BICYCLE,PL,126
BICYCLE(e),IT,126
CAR,PL,124
MOTORBIKE,UA,124
MOTORBIKE,GE,123
